ticket,type,comment,entry_time,exit_time,entry_price,exit_price,pnl,reason
2,BUY,STACK,2026-01-21 01:13:00,2026-01-21 01:29:00,4806.248,4827.256,21.00800000000072,STACK_TP
3,BUY,STACK,2026-01-21 01:29:00,2026-01-21 02:12:00,4827.556,4823.365000000001,-4.190999999998894,STACK_TRAIL_KILL
4,BUY,STACK,2026-01-21 02:14:00,2026-01-21 03:15:00,4828.471,4827.8060000000005,-0.6649999999990541,STACK_TRAIL_KILL
5,BUY,STACK,2026-01-21 03:17:00,2026-01-21 04:23:00,4833.763999999999,4853.677000000001,19.913000000001375,STACK_TP
6,BUY,STACK,2026-01-21 04:23:00,2026-01-21 05:34:00,4853.977,4875.967000000001,21.99000000000069,STACK_TP
7,BUY,STACK,2026-01-21 05:34:00,2026-01-21 06:39:00,4876.267,4868.280000000001,-7.9869999999991705,STACK_TRAIL_KILL
8,BUY,STACK,2026-01-21 06:41:00,2026-01-21 07:07:00,4866.245,4840.927000000001,-25.3179999999993,STACK_SL
9,BUY,STACK,2026-01-21 07:09:00,2026-01-21 08:05:00,4839.799,4862.501,22.702000000000226,STACK_TP
10,BUY,STACK,2026-01-21 08:05:00,2026-01-21 09:53:00,4862.8009999999995,4860.218000000001,-2.5829999999987194,STACK_TRAIL_KILL
11,BUY,STACK,2026-01-21 09:55:00,2026-01-21 14:04:00,4861.612999999999,4852.557000000001,-9.055999999998676,STACK_TRAIL_KILL
12,BUY,STACK,2026-01-21 14:06:00,2026-01-21 14:49:00,4857.749,4853.519,-4.229999999999563,STACK_TRAIL_KILL
13,BUY,STACK,2026-01-21 14:51:00,2026-01-21 15:16:00,4849.571999999999,4852.683,3.111000000000786,STACK_TRAIL_KILL
14,BUY,STACK,2026-01-21 15:18:00,2026-01-21 16:19:00,4839.741999999999,4835.488,-4.253999999998996,STACK_TRAIL_KILL
15,BUY,STACK,2026-01-21 16:21:00,2026-01-21 16:50:00,4836.6269999999995,4830.265,-6.3619999999991705,STACK_TRAIL_KILL
