type,price,strength,touches,bayesian_probability,kde_density,composite_score
supply,2054.199268973623,0.003910761283228856,2,0.8448712527854253,0.06920675179474521,0.35335415598641073
demand,2059.9230617038424,0.00465326275341614,4,0.8152448838455559,0.1262020321224824,0.35319966506408534
supply,2068.0189563098065,0.0033508743149362826,2,0.7822219741886732,0.1634785028454831,0.3469248399705404
demand,2059.683088965796,0.006095509045455422,3,0.6585579757099568,0.12029348621008855,0.28992009114418255
supply,2039.5565211714913,0.0036522752317760514,5,0.4173448898532232,0.5783371288019726,0.28406629179439424
supply,2036.3746397406082,0.008027804843571846,5,0.28761715071016947,0.7802251974381629,0.2743030217091291
demand,2034.8360912342278,0.007829096178535193,3,0.2447200159037329,0.7752180536485364,0.25606325556261456
demand,1984.7390323316613,0.003947736352534081,5,0.5628849731892588,0.13344537816238722,0.2534221594491946
supply,2034.6741280346243,0.003869523590602909,4,0.2447200159037329,0.7629329038590486,0.25202239656954406
demand,1997.9554663882636,0.009109972134510504,5,0.03900611922116945,0.9972689183248005,0.2187002202072321
demand,1997.6436075955248,0.006638171534099837,5,0.03900611922116945,0.9996417337553779,0.2181860630531833
demand,1997.4597150963946,0.003991815193290921,2,0.03900611922116945,0.9996417337553779,0.21712752051685974
demand,1996.9066835454828,0.0036377556315999914,4,0.037774399229627054,0.9994742397888167,0.21645970990225416
supply,1998.4955942401352,0.006021040924970028,2,0.034862420665436156,0.9956064805379604,0.2154746807437546
supply,1999.7048996731592,0.009682934196977043,4,0.03485820514667539,0.9850866866035551,0.21483379305817202
supply,1998.7166444648888,0.005197264016686029,4,0.034862420665436156,0.9937652555481495,0.2147769249824788
demand,1995.1693436013527,0.005911607411507616,2,0.050629111293585695,0.9603126267994869,0.21467881284193474
supply,2041.2177540319913,0.009222944187457201,4,0.2893597737950157,0.4748765825131922,0.2144084036956276
demand,1995.965882232235,0.003387168529648955,4,0.03743782022286705,0.989417708685779,0.21421353723816222
supply,2000.236012471221,0.005016061695669957,4,0.03485820514667539,0.9825399969141478,0.21245770611976772
demand,2000.5945026186282,0.008995184253666647,3,0.033528780761913665,0.9768075580501012,0.21237109761625236
supply,2000.8453084841403,0.0047333965905476325,5,0.033528780761913665,0.9735195327970565,0.21000877750039582
supply,2001.6123983788295,0.007327577328643714,2,0.033528780761913665,0.9656443029700843,0.20947140383023982
supply,2001.3560665826346,0.004727732507699877,3,0.033528780761913665,0.9698396817416421,0.20927054165617384
demand,1986.2412691022662,0.004207590625257501,2,0.4148704136349305,0.19317089146107733,0.20626537999629066
demand,2002.7560441242965,0.00994862538255375,4,0.033528780761913665,0.9403759432375746,0.2054661511053019
demand,2003.3258118464132,0.00442098546343004,5,0.033528780761913665,0.9205564201104928,0.19929119051223604
demand,1994.3829092445378,0.006413698976159735,5,0.03743782022286705,0.908197490696921,0.19918010581899492
supply,2003.5257022449282,0.008785625028423165,4,0.033528780761913665,0.9087153448733266,0.19866883129080007
supply,2010.7547718464782,0.008517000448207338,2,0.030787984966590656,0.912668297193347,0.19825565360458858
demand,2003.7402675583187,0.006262777058266079,5,0.033528780761913665,0.9087153448733266,0.19765969210273723
supply,2003.6752251184507,0.005922499915278627,3,0.033528780761913665,0.9087153448733266,0.19752358124554226
supply,2010.244254346606,0.009527010139957671,2,0.030787984966590656,0.9066300398334551,0.19745200600931037
supply,2011.224673718093,0.006582180077896872,4,0.029375494863868014,0.9119295717504934,0.19676898432680465
demand,2011.4512738546807,0.0045078188787716035,5,0.029375494863868014,0.9084285077586354,0.19523902704878293
demand,1993.4305565053417,0.009385391908954118,5,0.05604817551949629,0.8361318667194583,0.19339980031527185
supply,2009.4145759920962,0.006336122387837808,2,0.03202066901213159,0.8828568999433657,0.1919140965486609
demand,2004.5384195479335,0.007923026375528159,4,0.03217222526725884,0.8680904416357458,0.18965618898426398
demand,2004.8664276895204,0.007006729559859006,5,0.03217222526725884,0.854218391925747,0.18651526031599655
demand,2004.6608161931892,0.004893328665560342,4,0.03217222526725884,0.854218391925747,0.1856698999582771
supply,2004.9902628277155,0.009602233788891256,3,0.03217222526725884,0.8410537825555878,0.18492054013357762
demand,2005.1089328759265,0.008265280232223223,4,0.03217222526725884,0.8410537825555878,0.1843857587109104
demand,2005.140657744752,0.007099219849673773,3,0.03217222526725884,0.8410537825555878,0.1839193345578906
supply,2013.0732784917218,0.009266777681944078,5,0.031994785635049275,0.8298346773548199,0.1824715607977613
supply,2013.1158699232628,0.006650568157800427,2,0.031994785635049275,0.8298346773548199,0.18142507698810384
supply,2005.2041903702973,0.006234139585148722,3,0.03217222526725884,0.8291544611432378,0.1811934381696106
demand,2005.3954386889595,0.004553802382289508,4,0.03217222526725884,0.8291544611432378,0.18052130328846688
demand,1993.0108047634287,0.007439773680715011,2,0.03868906381840971,0.808895886544731,0.18023071230859608
demand,2007.7029365658327,0.007595077927898938,3,0.03273538479882987,0.8190912636236757,0.1799504378154267
supply,1993.084179980856,0.006606339768978477,3,0.03868906381840971,0.808895886544731,0.17989733874390149
supply,2005.7680410715661,0.00579635480126845,4,0.030787984966590656,0.8190401846634604,0.17844177283983573
demand,2005.8899159418615,0.008567353708904001,4,0.030787984966590656,0.8111512661146238,0.17797238869312265
supply,2006.542075925232,0.005228159939521689,2,0.03603634953115228,0.8032214158264259,0.17715008695355478
demand,1992.7635715596043,0.009336614235758506,4,0.03868906381840971,0.7805129296387647,0.17531285714942024
demand,1992.5369911567836,0.004387944784599706,2,0.03868906381840971,0.7512123993751406,0.1674732833162319
supply,2014.3456660380182,0.005891862125859383,5,0.029375494863868014,0.7436979375471825,0.16284653030532745
supply,2014.5667070024404,0.00947632196497488,3,0.029375494863868014,0.7221513111488612,0.15997098896130943
supply,2014.7521433037145,0.005420334842877696,5,0.029375494863868014,0.7221513111488612,0.15834859411247054
demand,2014.630575886826,0.00495512931564091,4,0.029375494863868014,0.7221513111488612,0.15816251190157582
supply,2033.8203559386259,0.0040255912561024815,4,0.02793417843251838,0.7088970228603562,0.15456331244751959
demand,1991.689720407231,0.0079468231645601,4,0.03868906381840971,0.6594433881571191,0.15054303242461176
demand,2015.1550449351419,0.0058989984633699595,4,0.029375494863868014,0.6818717253965804,0.15048414241021127
supply,2015.3062871135955,0.0030046568216812856,2,0.029375494863868014,0.6818717253965804,0.1493264057535358
supply,2038.6135677423474,0.006167057427580089,5,0.0436989674875952,0.6405254887771747,0.14805150772150508
supply,2015.635898649926,0.008932765508764028,3,0.029375494863868014,0.6636400382173067,0.14805131179251416
demand,2015.5474474953485,0.0035678414776140954,2,0.029375494863868014,0.6636400382173067,0.1459053421800542
supply,2015.7477720888294,0.007709650069413658,2,0.029375494863868014,0.6468829592043082,0.1442106498141743
supply,2038.9108240836847,0.0030312206805879916,3,0.046963070622494364,0.6192569342571101,0.143849103372655
demand,2032.8092587728559,0.009995685448477384,4,0.02793417843251838,0.640793708924854,0.14333068733736912
demand,2016.2180474931395,0.0034281583141807896,5,0.029375494863868014,0.6316732239063477,0.13945610605248906
demand,2032.5790264702596,0.009913002552869867,5,0.02793417843251838,0.617689820867631,0.1386768365676815
supply,2041.9730682108989,0.009831578846837295,4,0.1093792049151236,0.44399081524226147,0.13648247655323664
supply,2016.563008097839,0.0077092822648972305,5,0.029375494863868014,0.6059964279278472,0.13603319643707557
demand,2030.9411250990156,0.0036057027433103375,2,0.07710684114564949,0.5054498707914137,0.1333749917138667
demand,1990.7886890798338,0.008546404075515055,3,0.0423078230693595,0.5641846752161701,0.13317862590118384
demand,1990.8182198452857,0.007312264264890541,3,0.0423078230693595,0.5641846752161701,0.13268496997693405
demand,2016.9954930500844,0.00425437880317194,5,0.029375494863868014,0.5955344485375811,0.1325588391743322
supply,2042.0621488896559,0.0069851028299826035,4,0.1093792049151236,0.42826271404031613,0.1321982659061057
demand,1990.9043122940536,0.005351463823871568,3,0.0423078230693595,0.5641846752161701,0.13190064980052646
supply,2017.147685091383,0.004193312301378401,5,0.029375494863868014,0.5866510073621273,0.13075772433852403
supply,2017.756785498091,0.008417993433880912,3,0.0299510917235927,0.5735741250042241,0.1300624590638343
supply,2021.935630660672,0.008070945075343597,3,0.04403469238798207,0.5408538587418817,0.12901302673370663
demand,2017.8642551333069,0.005010074634643376,5,0.0299510917235927,0.5735741250042241,0.12869929154413925
demand,2018.1335326080018,0.006666209577112773,4,0.0299510917235927,0.5693136029802504,0.12850964111633226
demand,2030.0908224308237,0.004277397910771709,2,0.07759895199757419,0.47737887677630114,0.1282263153185986
demand,1990.0006369389355,0.009964952476981653,5,0.07234801667013978,0.4690588340003455,0.12673695445891767
demand,2019.1520533289952,0.003874960725423004,3,0.029375494863868014,0.5645440293847481,0.12620898811266604
demand,1990.4353665084861,0.003647905473507786,5,0.0423078230693595,0.5322032790536027,0.12482294722786746
demand,2031.8208259129503,0.006077808602305438,4,0.02793417843251838,0.5539555470849568,0.12439590423092088
supply,2027.3401194339422,0.008879525713467274,4,0.044728416039800246,0.49628901407376397,0.1207009795160598
demand,2027.3921841081983,0.005948349276715624,4,0.044728416039800246,0.49628901407376397,0.11952850894135915
supply,2029.9467445555824,0.006904929912553932,2,0.042947969402305296,0.47737887677630114,0.11541693508120393
supply,2026.7493778191572,0.00812119079889011,3,0.02793417843251838,0.5025243334053657,0.11492701437363655
supply,2026.647323026283,0.007186055632622576,4,0.02793417843251838,0.5034734715216553,0.11474278793038746
supply,2026.9568387278,0.006679447151829773,4,0.02793417843251838,0.5025243334053657,0.11435031691481241
demand,2026.8723728430493,0.006317294311225219,3,0.02793417843251838,0.5025243334053657,0.1142054557785706
supply,2026.9039196216347,0.006146923706682565,2,0.02793417843251838,0.5025243334053657,0.11413730753675354
supply,2026.305277028405,0.004587542840801574,4,0.02793417843251838,0.5028998099025682,0.11358865048984164
demand,1989.5165254031465,0.006509896811563195,3,0.07234801667013978,0.4088377554113524,0.11331071647495168
supply,2023.5968018534957,0.0064595277373088,3,0.02793417843251838,0.4925489251334886,0.11226726749462859
demand,2028.1334239187388,0.004157939726990136,3,0.031526450695447725,0.4810735072234871,0.11048845761367257
demand,2060.670310548589,0.003366509650449686,2,0.18219162334885664,0.13882154425164264,0.10198756205005106
demand,1988.6642085063495,0.009724143345878131,5,0.04554225272509505,0.3539110542063435,0.09288876926965797
supply,2043.2568977305227,0.009704753047182421,5,0.024962701408286523,0.36087373077553725,0.08604172793729503
demand,2043.2891718032813,0.008922356473608197,4,0.024962701408286523,0.36087373077553725,0.08572876930786534
demand,1988.4737417406511,0.004224897340430427,5,0.04554225272509505,0.3290600161109147,0.08571886324839312
supply,2043.8064055646748,0.004085401261924748,2,0.0458414644769439,0.3257589525960599,0.08512253681475944
demand,1988.090078442599,0.004288719376250085,4,0.04554225272509505,0.3061552078830578,0.08116343041714962
