entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,bars_in_trade,month
2025-11-13 07:30:00,2025-11-13 07:45:00,SELL,1.16024,1.1607399999999999,-0.49999999999994493,SL,1,2025-11
2025-11-14 05:45:00,2025-11-14 06:15:00,SELL,1.16475,1.16395,0.7999999999999119,TP,2,2025-11
2025-11-14 13:00:00,2025-11-14 13:15:00,SELL,1.16463,1.16513,-0.49999999999994493,SL,1,2025-11
2025-11-14 13:15:00,2025-11-14 13:30:00,SELL,1.16443,1.16493,-0.49999999999994493,SL,1,2025-11
2025-11-17 13:30:00,2025-11-17 14:30:00,BUY,1.159,1.1585,-0.49999999999994493,SL,4,2025-11
2025-11-17 13:45:00,2025-11-17 14:30:00,BUY,1.15909,1.15859,-0.49999999999994493,SL,3,2025-11
2025-11-17 15:30:00,2025-11-17 15:45:00,BUY,1.15878,1.1595799999999998,0.7999999999999119,TP,1,2025-11
2025-11-17 19:30:00,2025-11-18 03:00:00,BUY,1.1586400000000001,1.15944,0.7999999999999119,TP,30,2025-11
2025-11-18 08:00:00,2025-11-18 08:30:00,SELL,1.1604700000000001,1.1596700000000002,0.7999999999999119,TP,2,2025-11
2025-11-18 15:00:00,2025-11-18 15:30:00,SELL,1.16015,1.16065,-0.49999999999994493,SL,2,2025-11
2025-11-18 15:15:00,2025-11-18 15:45:00,SELL,1.1605699999999999,1.15977,0.7999999999999119,TP,2,2025-11
2025-11-27 00:00:00,2025-11-27 01:15:00,SELL,1.16013,1.16063,-0.49999999999994493,SL,5,2025-11
2025-11-27 00:15:00,2025-11-27 01:30:00,SELL,1.16027,1.1607699999999999,-0.49999999999994493,SL,5,2025-11
2025-11-27 00:30:00,2025-11-27 01:15:00,SELL,1.16015,1.16065,-0.49999999999994493,SL,3,2025-11
2025-11-27 00:45:00,2025-11-27 01:30:00,SELL,1.1602000000000001,1.1607,-0.49999999999994493,SL,3,2025-11
2025-11-27 01:00:00,2025-11-27 01:45:00,SELL,1.16054,1.1610399999999998,-0.49999999999994493,SL,3,2025-11
2025-11-27 01:15:00,2025-11-27 01:45:00,SELL,1.16059,1.16109,-0.49999999999994493,SL,2,2025-11
2025-11-27 01:30:00,2025-11-27 01:45:00,SELL,1.16059,1.16109,-0.49999999999994493,SL,1,2025-11
2025-11-27 07:00:00,2025-11-27 09:00:00,BUY,1.15886,1.15836,-0.49999999999994493,SL,8,2025-11
2025-11-27 07:15:00,2025-11-27 09:00:00,BUY,1.15875,1.15825,-0.49999999999994493,SL,7,2025-11
2025-11-27 07:30:00,2025-11-27 08:00:00,BUY,1.15862,1.15942,0.7999999999999119,TP,2,2025-11
2025-11-27 07:45:00,2025-11-27 09:00:00,BUY,1.15912,1.15862,-0.49999999999994493,SL,5,2025-11
2025-11-27 08:00:00,2025-11-27 09:00:00,BUY,1.15878,1.15828,-0.49999999999994493,SL,4,2025-11
2025-11-28 01:30:00,2025-11-28 02:45:00,BUY,1.15863,1.15813,-0.49999999999994493,SL,5,2025-11
2025-11-28 02:15:00,2025-11-28 02:45:00,BUY,1.1586,1.1581000000000001,-0.49999999999994493,SL,2,2025-11
2025-11-28 20:15:00,2025-11-30 22:00:00,SELL,1.16013,1.1593300000000002,0.7999999999999119,TP,7,2025-11
2025-12-01 03:00:00,2025-12-01 04:30:00,BUY,1.15912,1.1599199999999998,0.7999999999999119,TP,6,2025-12
