time,open,high,low,close,tick_volume,spread,real_volume,near_support,near_resistance,at_key_level,level_strength
2025-12-09 16:00:00,1.16286,1.16374,1.16284,1.16353,627,8,0,0,0,0,0.0
2025-12-09 16:15:00,1.16355,1.16399,1.16343,1.16382,621,8,0,0,0,0,0.0
2025-12-09 16:30:00,1.16382,1.16409,1.16354,1.1636199999999999,520,8,0,0,0,0,0.0
2025-12-09 16:45:00,1.16363,1.16388,1.16361,1.16378,467,8,0,0,0,0,0.0
2025-12-09 17:00:00,1.16381,1.16392,1.16332,1.1633499999999999,496,8,0,0,0,0,0.0
2025-12-09 17:15:00,1.16338,1.16345,1.16267,1.16279,526,8,0,0,0,0,0.0
2025-12-09 17:30:00,1.16278,1.16294,1.16246,1.1625,377,8,0,0,0,0,0.0
2025-12-09 17:45:00,1.16249,1.16261,1.16217,1.16237,441,8,0,0,0,0,0.0
2025-12-09 18:00:00,1.16237,1.16246,1.16192,1.16199,444,8,0,0,0,0,0.0
2025-12-09 18:15:00,1.162,1.16222,1.16166,1.16219,389,8,0,0,0,0,0.0
2025-12-09 18:30:00,1.16217,1.1623999999999999,1.16192,1.16217,406,8,0,0,0,0,0.0
2025-12-09 18:45:00,1.16219,1.16245,1.16216,1.16238,278,8,0,0,0,0,0.0
2025-12-09 19:00:00,1.1623999999999999,1.16248,1.16218,1.16241,276,8,0,0,0,0,0.0
2025-12-09 19:15:00,1.16241,1.1628,1.16231,1.16279,319,8,0,0,0,0,0.0
2025-12-09 19:30:00,1.16279,1.16294,1.16261,1.16261,267,8,0,0,0,0,0.0
2025-12-09 19:45:00,1.16261,1.16297,1.16253,1.16281,298,8,0,0,0,0,0.0
2025-12-09 20:00:00,1.16282,1.16316,1.16276,1.16305,283,8,0,0,0,0,0.0
2025-12-09 20:15:00,1.16305,1.16318,1.16289,1.16297,225,8,0,0,0,0,0.0
2025-12-09 20:30:00,1.16297,1.16297,1.16277,1.16278,237,8,0,0,0,0,0.0
