type,price,time,idx,strength,touches,validated,cluster,cluster_center
demand,1.1621299999999999,2025-12-10 03:00:00,44,0.0022630858854001982,27,True,3,1.162078
demand,1.16272,2025-12-10 13:15:00,85,0.002777968900509208,10,True,3,1.162078
demand,1.16464,2025-12-10 19:30:00,110,0.004859870861382247,2,True,8,1.16452
demand,1.16819,2025-12-11 06:15:00,153,0.002936166205839651,11,True,1,1.166995
demand,1.1687,2025-12-11 09:15:00,165,0.004954222640540739,4,True,6,1.169441
demand,1.17192,2025-12-12 12:45:00,275,0.002423373609120037,15,True,2,1.1716214285714286
demand,1.17259,2025-12-15 08:00:00,352,0.0025157983608934138,5,True,2,1.1716214285714286
supply,1.17685,2025-12-15 15:00:00,380,0.002532183370862882,11,True,5,1.1768042857142857
demand,1.17514,2025-12-16 11:15:00,461,0.004059090831730637,31,True,4,1.1751333333333334
demand,1.17567,2025-12-16 13:45:00,471,0.0036064541920777272,34,True,4,1.1751333333333334
supply,1.17775,2025-12-16 17:30:00,486,0.002759499044788771,2,True,5,1.1768042857142857
supply,1.1752,2025-12-17 01:15:00,517,0.002569775357385996,7,True,4,1.1751333333333334
demand,1.17075,2025-12-17 11:30:00,558,0.003929105274396701,6,True,2,1.1716214285714286
supply,1.17493,2025-12-18 07:00:00,636,0.0026724996382762553,14,True,4,1.1751333333333334
demand,1.1717,2025-12-18 09:15:00,645,0.002517709311257155,42,True,2,1.1716214285714286
supply,1.17625,2025-12-18 13:45:00,663,0.0037492029755579383,2,True,5,1.1768042857142857
demand,1.17157,2025-12-18 15:30:00,670,0.0021594953779969796,48,True,2,1.1716214285714286
supply,1.17456,2025-12-18 16:15:00,673,0.002315760795531991,2,True,4,1.1751333333333334
demand,1.17073,2025-12-19 11:15:00,749,0.002280628325916266,40,True,2,1.1716214285714286
demand,1.17018,2025-12-19 13:15:00,757,0.0027517134116118894,26,True,6,1.169441
supply,1.17374,2025-12-19 14:15:00,761,0.0024025763797775016,5,True,9,1.173638
demand,1.17126,2025-12-22 06:45:00,827,0.002049075354746135,7,True,2,1.1716214285714286
demand,1.17283,2025-12-22 11:30:00,846,0.0030694985633041853,6,True,9,1.173638
demand,1.17683,2025-12-23 06:30:00,922,0.002566216021005602,32,True,5,1.1768042857142857
demand,1.17687,2025-12-23 17:30:00,966,0.002319712457620552,6,True,5,1.1768042857142857
demand,1.17662,2025-12-26 08:00:00,1120,0.0021587258418180777,39,True,5,1.1768042857142857
supply,1.17962,2025-12-26 13:45:00,1143,0.002797511062884538,11,True,0,1.178985
supply,1.17861,2025-12-29 01:45:00,1191,0.0025877940964356295,23,True,0,1.178985
demand,1.17534,2025-12-29 05:15:00,1205,0.002552452907243769,27,True,4,1.1751333333333334
supply,1.17887,2025-12-29 09:30:00,1222,0.0027229465505103677,13,True,0,1.178985
demand,1.1755200000000001,2025-12-29 12:45:00,1235,0.002484007077718636,29,True,4,1.1751333333333334
supply,1.17884,2025-12-29 14:45:00,1243,0.0030962641240542847,5,True,0,1.178985
demand,1.17492,2025-12-29 17:15:00,1253,0.002042692268409728,10,True,4,1.1751333333333334
demand,1.17492,2025-12-29 17:45:00,1255,0.002042692268409728,8,True,4,1.1751333333333334
demand,1.17197,2025-12-31 09:00:00,1412,0.003003489850422765,15,True,2,1.1716214285714286
demand,1.172,2025-12-31 15:15:00,1437,0.0022184300341298274,9,True,2,1.1716214285714286
supply,1.17646,2026-01-02 03:45:00,1487,0.003289529605766486,10,True,5,1.1768042857142857
demand,1.17155,2026-01-02 14:15:00,1529,0.0029704237975331205,27,True,2,1.1716214285714286
supply,1.1724,2026-01-04 22:00:00,1560,0.0035397475264415707,6,True,2,1.1716214285714286
supply,1.16944,2026-01-05 08:30:00,1602,0.0029330277739773257,18,True,6,1.169441
supply,1.16906,2026-01-05 11:00:00,1612,0.0026089336732075317,15,True,6,1.169441
demand,1.16587,2026-01-05 13:30:00,1622,0.005446576376439979,2,True,1,1.166995
demand,1.17104,2026-01-06 00:30:00,1666,0.0022629457576171957,22,True,2,1.1716214285714286
supply,1.17425,2026-01-06 07:00:00,1692,0.003116883116883114,7,True,9,1.173638
supply,1.17172,2026-01-06 14:00:00,1720,0.0026456832690404724,5,True,2,1.1716214285714286
supply,1.17018,2026-01-07 04:00:00,1776,0.002298791638893231,32,True,6,1.169441
supply,1.16994,2026-01-07 06:45:00,1787,0.0020941244850163796,37,True,6,1.169441
supply,1.16775,2026-01-08 13:15:00,1909,0.0026803682295012433,9,True,1,1.166995
supply,1.16734,2026-01-08 15:15:00,1917,0.0024328815940513936,5,True,1,1.166995
supply,1.1660300000000001,2026-01-09 13:30:00,2006,0.0029759097107279263,9,True,1,1.166995
demand,1.16291,2026-01-09 21:45:00,2039,0.003121479736178896,11,True,3,1.162078
demand,1.16526,2026-01-12 04:30:00,2066,0.0036300911384583323,6,True,8,1.16452
supply,1.16982,2026-01-12 13:45:00,2103,0.002598690396813316,2,True,6,1.169441
supply,1.16772,2026-01-13 13:30:00,2198,0.0033997876203199643,5,True,1,1.166995
supply,1.16612,2026-01-14 16:00:00,2304,0.002152437141975107,7,True,1,1.166995
supply,1.16405,2026-01-15 10:30:00,2378,0.0038829947167218584,10,True,8,1.16452
supply,1.16229,2026-01-16 11:45:00,2479,0.002882241093014621,19,True,3,1.162078
supply,1.1627,2026-01-16 15:15:00,2493,0.0032338522404747445,18,True,3,1.162078
supply,1.16019,2026-01-16 21:00:00,2516,0.002128961635594146,6,True,3,1.162078
demand,1.15749,2026-01-18 22:00:00,2520,0.005270023931092465,5,True,7,1.15749
demand,1.16155,2026-01-19 02:15:00,2537,0.002066204640351218,37,True,3,1.162078
supply,1.16413,2026-01-19 07:00:00,2556,0.002267787961825739,32,True,8,1.16452
demand,1.1610800000000001,2026-01-19 09:15:00,2565,0.002067041030764424,8,True,3,1.162078
demand,1.16198,2026-01-19 11:15:00,2573,0.0022031360264375423,12,True,3,1.162078
demand,1.16323,2026-01-20 00:30:00,2626,0.0033097495766098786,11,True,3,1.162078
demand,1.1715,2026-01-20 14:30:00,2682,0.0020742637644045516,39,True,2,1.1716214285714286
supply,1.17422,2026-01-20 17:00:00,2692,0.002588952666450862,12,True,9,1.173638
demand,1.17009,2026-01-21 10:30:00,2762,0.0032732524848515924,23,True,6,1.169441
demand,1.16694,2026-01-21 23:30:00,2814,0.0022794659536907506,6,True,1,1.166995
demand,1.16837,2026-01-22 08:30:00,2850,0.0025762386915105483,12,True,6,1.169441
demand,1.16863,2026-01-22 10:15:00,2857,0.003551166750810672,6,True,6,1.169441
demand,1.17315,2026-01-23 14:00:00,2968,0.005719643694327234,4,True,9,1.173638
