type,price,time,formation_time,validation_time,idx,validation_idx,strength,touches,validated,bayesian_probability,kde_density,composite_score,mtf_confluence,aligned_timeframes,num_timeframes
demand,1.17007,2025-09-12 12:00:00,2025-09-12 12:00:00,2025-09-17 16:00:00,2412,2432,0.014520498773577702,2,True,0.99,0.9999691803841593,0.7481765338352446,0.75,"[15, 16385, 16388]",3
demand,1.16141,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-24 08:00:00,2168,2188,0.013845239837783274,3,True,0.99,0.9999939417091724,0.7480764830611262,0.75,"[15, 16385, 16388]",3
supply,1.18198,2025-09-23 00:00:00,2025-09-23 00:00:00,2025-09-26 08:00:00,2453,2473,0.013485845784192681,5,True,0.99,0.9999046395133222,0.7480181088432951,0.75,"[15, 16385, 16388]",3
supply,1.16145,2025-06-16 12:00:00,2025-06-16 12:00:00,2025-06-19 20:00:00,2016,2036,0.01331955744973963,8,True,0.99,0.9999937425356495,0.7479976207442435,0.75,"[15, 16385, 16388]",3
supply,1.17421,2025-08-22 16:00:00,2025-08-22 16:00:00,2025-08-27 20:00:00,2320,2340,0.013311077234906902,3,True,0.99,0.9999510521834157,0.7479942141944069,0.75,"[15, 16385, 16388]",3
demand,1.15738,2025-08-27 08:00:00,2025-08-27 08:00:00,2025-09-01 12:00:00,2337,2357,0.013038068741467838,2,True,0.99,0.9999988834311828,0.7479556544827793,0.75,"[15, 16385, 16388]",3
supply,1.17591,2025-10-03 12:00:00,2025-10-03 12:00:00,2025-10-08 16:00:00,2505,2525,0.013053720097626497,2,True,0.99,0.999942266812338,0.747955171355261,0.75,"[15, 16385, 16388]",3
supply,1.16686,2025-10-28 16:00:00,2025-10-28 16:00:00,2025-11-02 20:00:00,2612,2632,0.012289392043604219,5,True,0.99,0.9999807479381431,0.7478424462034479,0.75,"[15, 16385, 16388]",3
demand,1.15928,2026-01-15 12:00:00,2026-01-15 12:00:00,2026-01-20 16:00:00,2954,2974,0.012214477951832128,8,True,0.99,0.9999969760100924,0.7478320204932796,0.75,"[15, 16385, 16388]",3
demand,1.16148,2025-12-09 12:00:00,2025-12-09 12:00:00,2025-12-12 20:00:00,2797,2817,0.012131074146778192,5,True,0.99,0.9999937425356495,0.7478193482487993,0.75,"[15, 16385, 16388]",3
demand,1.15823,2025-08-22 04:00:00,2025-08-22 04:00:00,2025-08-27 08:00:00,2317,2337,0.011940633552921274,4,True,0.99,0.9999982107649829,0.7477910055711874,0.75,"[15, 16385, 16388]",3
demand,1.16296,2025-09-04 12:00:00,2025-09-04 12:00:00,2025-09-09 16:00:00,2375,2395,0.01191786475889109,2,True,0.99,0.9999908601539887,0.7477872227215332,0.75,"[15, 16385, 16388]",3
demand,1.15896,2025-08-11 12:00:00,2025-08-11 12:00:00,2025-08-14 20:00:00,2264,2284,0.011130668875543707,5,True,0.99,0.9999973802592499,0.7476694693442941,0.75,"[15, 16385, 16388]",3
supply,1.17782,2025-10-01 04:00:00,2025-10-01 04:00:00,2025-10-06 08:00:00,2491,2511,0.009823232752033485,2,True,0.99,0.9999314340361676,0.7474700566146135,0.75,"[15, 16385, 16388]",3
supply,1.17359,2025-09-01 08:00:00,2025-09-01 08:00:00,2025-09-04 16:00:00,2356,2376,0.009620054703942433,5,True,0.99,0.999953819603389,0.7474406991857608,0.75,"[15, 16385, 16388]",3
demand,1.15544,2025-11-28 08:00:00,2025-11-28 08:00:00,2025-12-03 12:00:00,2752,2772,0.009572111057259632,2,True,0.99,0.9999998599194703,0.7474358096545626,0.75,"[15, 16385, 16388]",3
supply,1.1758,2025-10-02 12:00:00,2025-10-02 12:00:00,2025-10-07 16:00:00,2499,2519,0.009176730736519693,3,True,0.99,0.9999428750486797,0.7473736533629121,0.75,"[15, 16385, 16388]",3
supply,1.16076,2025-11-18 12:00:00,2025-11-18 12:00:00,2025-11-21 20:00:00,2704,2724,0.009037182535580232,11,True,0.99,0.9999948892591282,0.7473553218432936,0.75,"[15, 16385, 16388]",3
supply,1.16925,2025-08-19 08:00:00,2025-08-19 08:00:00,2025-08-22 16:00:00,2300,2320,0.008843275604019495,7,True,0.99,0.9999722205680943,0.7473251023690077,0.75,"[15, 16385, 16388]",3
supply,1.17425,2026-01-06 04:00:00,2026-01-06 04:00:00,2026-01-09 12:00:00,2909,2929,0.008711943793910973,2,True,0.99,0.9999504890371231,0.7473043160209429,0.75,"[15, 16385, 16388]",3
demand,1.16216,2025-08-20 00:00:00,2025-08-20 00:00:00,2025-08-25 04:00:00,2304,2324,0.008518620499759086,11,True,0.99,0.999992479849991,0.7472774170674634,0.75,"[15, 16385, 16388]",3
demand,1.16783,2025-07-22 12:00:00,2025-07-22 12:00:00,2025-07-25 20:00:00,2177,2197,0.008271751881695112,2,True,0.99,0.9999774478976259,0.7472396351771357,0.75,"[15, 16385, 16388]",3
demand,1.17018,2025-12-19 12:00:00,2025-12-19 12:00:00,2025-12-24 16:00:00,2846,2866,0.007981678032439562,6,True,0.99,0.9999687331883985,0.747195688364286,0.75,"[15, 16385, 16388]",3
demand,1.16016,2025-08-26 04:00:00,2025-08-26 04:00:00,2025-08-29 12:00:00,2330,2350,0.007955799200110199,6,True,0.99,0.9999959200200159,0.7471931658810174,0.75,"[15, 16385, 16388]",3
supply,1.17646,2026-01-02 00:00:00,2026-01-02 00:00:00,2026-01-07 04:00:00,2895,2915,0.0076415687741190124,3,True,0.99,0.9999391773206138,0.7471431941821486,0.75,"[15, 16385, 16388]",3
supply,1.17299,2025-08-13 08:00:00,2025-08-13 08:00:00,2025-08-18 12:00:00,2275,2295,0.007442518691548866,6,True,0.99,0.9999570342213523,0.7471142295148,0.75,"[15, 16385, 16388]",3
supply,1.16733,2025-08-20 12:00:00,2025-08-20 12:00:00,2025-08-25 16:00:00,2307,2327,0.007213041727703282,9,True,0.99,0.9999789467926011,0.7470809035987855,0.75,"[15, 16385, 16388]",3
supply,1.17651,2025-07-08 04:00:00,2025-07-08 04:00:00,2025-07-11 12:00:00,2113,2133,0.007131261102752971,2,True,0.99,0.9999391773206138,0.7470666480314436,0.75,"[15, 16385, 16388]",3
supply,1.17157,2025-08-17 20:00:00,2025-08-17 20:00:00,2025-08-21 04:00:00,2291,2311,0.00708451052860689,9,True,0.99,0.9999631156079304,0.7470608323596877,0.75,"[15, 16385, 16388]",3
demand,1.1682,2025-09-10 04:00:00,2025-09-10 04:00:00,2025-09-15 08:00:00,2398,2418,0.006719739770587344,8,True,0.99,0.9999762899057217,0.7470067754608742,0.75,"[15, 16385, 16388]",3
demand,1.16306,2025-08-14 16:00:00,2025-08-14 16:00:00,2025-08-19 20:00:00,2283,2303,0.0065430846216015465,12,True,0.99,0.9999906158842532,0.746980993487453,0.75,"[15, 16385, 16388]",3
demand,1.16587,2026-01-05 12:00:00,2026-01-05 12:00:00,2026-01-08 20:00:00,2905,2925,0.006475850652302526,10,True,0.99,0.9999834622764298,0.746970550711667,0.75,"[15, 16385, 16388]",3
